Name,Canonical_Smiles,SMARTS
"{4-Methoxyphenoxyacetaldehyde diethyl acetal, 97 %}",CCOC(COc1ccc(OC)cc1)OCC,[#8](-[c]1:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]1)-[#6]-[#6](-[#8]-[#6]-[#6])-[#8]-[#6]-[#6]
"{1-tert-Butoxy-2-propanol, 99 %}",CC(O)COC(C)(C)C,[#8](-[#6]-[#6](-[#8])-[#6])-[#6](-[#6])(-[#6])-[#6]
"{7-tert-Butoxy-2,5-norbornadiene, 96 %}",CC(C)(C)OC1C2C=CC1C=C2,[#6](-[#6])(-[#6])(-[#6])-[#8]-[#6](-[#6](-[#6]=[#6]1)-[#6]=[#6]2)-[#6]12
"{(+)-Chloromethyl isomenthyl ether, 97 %}",CC(C)[C@H]1CC[C@@H](C)C[C@@H]1OCCl,[#6]1-[#6]-[#6@](-[#6](-[#6])-[#6])-[#6@@](-[#8]-[#6]-[#17])-[#6]-[#6@@]1-[#6]
"{Benzyloxyacetaldehyde diethyl acetal, 95 %}",CCOC(COCc1ccccc1)OCC,[c]1(-[#6]-[#8]-[#6]-[#6](-[#8]-[#6]-[#6])-[#8]-[#6]-[#6]):[c]:[c]:[c]:[c]:[c]1
"{cis-1,4-Dibenzyloxy-2-butene, 95 %}",C(OCc1ccccc1)\C=C/COCc2ccccc2,[#1]-[#6](/-[#6]-[#8]-[#6]-[c]1:[c]:[c]:[c]:[c]:[c]1)=[#6](/-[#6]-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#1]
"{1-Bromo-2-(2-methoxyethoxy)ethane, 90 %}",COCCOCCBr,[#6]-[#8]-[#6]-[#6]-[#8]-[#6]-[#6]-[#35]
"{1,4-Dibromo-2,5-dimethoxybenzene, 97 %}",COc1cc(Br)c(OC)cc1Br,[#35]-[c](:[c](-[#8]-[#6]):[c]1):[c]:[c](-[#8]-[#6]):[c]1-[#35]
"{4-(Trifluoromethoxy)anisole, 98 %}",COc1ccc(OC(F)(F)F)cc1,[c]1:[c]:[c](-[#8]-[#6](-[#9])(-[#9])-[#9]):[c]:[c]:[c]1-[#8]-[#6]
"{1-Ethynyl-2-methoxybenzene, 97 %}",COc1ccccc1C#C,[c]1:[c](-[#6]#[#6]):[c](-[#8]-[#6]):[c]:[c]:[c]1
