Name,Canonical_Smiles,SMARTS,,,,,,,,,,
"{3-(Trifluoromethoxy)phenol, 98 %}",Oc1cccc(OC(F)(F)F)c1,[#8](-[c]1:[c]:[c]:[c]:[c](-[#8]):[c]1)-[#6](-[#9])(-[#9])-[#9],,,,,,,,,,
"{2,3-Dihydro-2,2-dimethyl-7-benzofuranol, 99 %}",CC1(C)Cc2cccc(O)c2O1,[#8]-[c]1:[c]:[c]:[c]:[c](-[#6]-[#6](-[#6])(-[#6])-[#8]2):[c]12,,,,,,,,,,
{Sclareol},C[C@](O)(CC[C@H]1[C@](C)(O)CC[C@H]2C(C)(C)CCC[C@]12C)C=C,[#6]-[#6@@]12-[#6@](-[#1])(-[#6@](-[#6]-[#6]-[#6]1)(-[#6])-[#6])-[#6]-[#6]-[#6@](-[#8])(-[#6])-[#6@@]2-[#6]-[#6]-[#6@@](-[#8])(-[#6])-[#6]=[#6],,,,,,,,,,
"{2,3:5,6-Di-O-isopropylidene-alpha-D-mannofuranose, 98 %}",CC1(C)OCC(O1)C2OC(O)C3OC(C)(C)OC23,[#8]-[#6]1-[#8]-[#6](-[#6]2-[#8]-[#6](-[#6])(-[#6])-[#8]-[#6]2)-[#6](-[#8]-[#6](-[#6])(-[#6])-[#8]3)-[#6]13,,,,,,,,,,
"{2-Chloro-2-propen-1-ol, gradetech. 90 %}",OCC(=C)Cl,[#6](-[#17])(=[#6])-[#6]-[#8],,,,,,,,,,
"{3,7,11,15-Tetramethyl-1,2,3-hexadecanetriol, 96 %}",CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C(O)CO,[#6](-[#8])(-[#6])(-[#6](-[#8])-[#6]-[#8])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6],,,,,,,,,,
"{2-(2,3,6-Trifluorophenoxy)ethanol, 98 %}",OCCOc1c(F)ccc(F)c1F,[#8](-[c]1:[c](:[c]:[c]:[c](-[#9]):[c]1-[#9])-[#9])-[#6]-[#6]-[#8],,,,,,,,,,
"{alpha-Methyl-3-(trifluoromethyl)benzyl alcohol, 96 %}",CC(O)c1cccc(c1)C(F)(F)F,[#6](-[c]1:[c]:[c]:[c]:[c](-[#6](-[#8])-[#6]):[c]1)(-[#9])(-[#9])-[#9],,,,,,,,,,
"{2'-Chloroethyl beta-D-fructopyranoside, 98 %}",OCC1(OCCCl)OCC(O)C(O)C1O,[#8](-[#6]1(-[#8]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6]1-[#8])-[#6]-[#8])-[#6]-[#6]-[#17],,,,,,,,,,
"{4,4'-Dihydroxybiphenyl, gradezone-refined Purified by sublimation 99+ %}",Oc1ccc(cc1)c2ccc(O)cc2,[#8]-[c]1:[c]:[c]:[c](-[c]2:[c]:[c]:[c](-[#8]):[c]:[c]2):[c]:[c]1,,,,,,,,,,
"{2,2,3,4,4,4-Hexafluoro-1-butanol, 95 %}",OCC(F)(F)C(F)C(F)(F)F,[#6](-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#6](-[#9])(-[#9])-[#6]-[#8],,,,,,,,,,
"{2,4-Di-tert-amylphenol, 99 %}",CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,[#6](-[c]1:[c](:[c]:[c]:[c](-[#6](-[#6])(-[#6])-[#6]-[#6]):[c]1)-[#8])(-[#6])(-[#6])-[#6]-[#6],,,,,,,,,,
"{4-sec-Butyl-2,6-di-tert-butylphenol, 96 %}",CCC(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,[#6](-[c]1:[c]:[c](-[#6](-[#6])-[#6]-[#6]):[c]:[c](-[#6](-[#6])(-[#6])-[#6]):[c]1-[#8])(-[#6])(-[#6])-[#6],,,,,,,,,,
"{2,3,5,6-Tetrafluoro-4-(pentafluorophenyl)phenol, 99 %}",Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,[#9]-[c]1:[c](:[c](-[#9]):[c](-[#9]):[c](-[#9]):[c]1-[c]2:[c](:[c](-[#9]):[c](-[#8]):[c](-[#9]):[c]2-[#9])-[#9])-[#9],,,,,,,,,,
"{2,3,5,6-Tetrafluoro-4-(trifluoromethyl)phenol, 95 %}",Oc1c(F)c(F)c(c(F)c1F)C(F)(F)F,[#6](-[c]1:[c](:[c](-[#9]):[c](-[#8]):[c](-[#9]):[c]1-[#9])-[#9])(-[#9])(-[#9])-[#9],,,,,,,,,,
